Week,artist,search_popularity_trends
2023-01-01,BTS,95
2023-01-08,BTS,98
2023-01-15,BTS,85
2023-01-22,BTS,83
2023-01-29,BTS,94
2023-02-05,BTS,91
2023-02-12,BTS,81
2023-02-19,BTS,83
2023-02-26,BTS,82
2023-03-05,BTS,83
2023-03-12,BTS,79
2023-03-19,BTS,82
2023-03-26,BTS,76
2023-04-02,BTS,77
2023-04-09,BTS,75
2023-04-16,BTS,80
2023-04-23,BTS,74
2023-04-30,BTS,78
2023-05-07,BTS,80
2023-05-14,BTS,80
2023-05-21,BTS,76
2023-05-28,BTS,87
2023-06-04,BTS,89
2023-06-11,BTS,100
2023-06-18,BTS,76
2023-06-25,BTS,74
2023-07-02,BTS,77
2023-07-09,BTS,83
2023-07-16,BTS,66
2023-07-23,BTS,64
2023-07-30,BTS,60
2023-08-06,BTS,68
2023-08-13,BTS,62
2023-08-20,BTS,59
2023-08-27,BTS,61
2023-09-03,BTS,59
2023-09-10,BTS,59
2023-09-17,BTS,65
2023-09-24,BTS,57
2023-10-01,BTS,56
2023-10-08,BTS,56
2023-10-15,BTS,57
2023-10-22,BTS,56
2023-10-29,BTS,51
2023-11-05,BTS,52
2023-11-12,BTS,56
2023-11-19,BTS,59
2023-11-26,BTS,58
2023-12-03,BTS,63
2023-12-10,BTS,66
2023-12-17,BTS,59
2023-12-24,BTS,69
2023-12-31,BTS,59
2024-01-07,BTS,51
2024-01-14,BTS,54
2024-01-21,BTS,50
2024-01-28,BTS,50
2024-02-04,BTS,49
2024-02-11,BTS,49
2024-02-18,BTS,47
2024-02-25,BTS,45
2024-03-03,BTS,47
2024-03-10,BTS,44
2024-03-17,BTS,47
2024-03-24,BTS,55
2024-03-31,BTS,53
2024-04-07,BTS,47
2024-04-14,BTS,53
2024-04-21,BTS,48
2024-04-28,BTS,50
2024-05-05,BTS,49
2024-05-12,BTS,49
2024-05-19,BTS,51
2024-05-26,BTS,51
2024-06-02,BTS,57
2024-06-09,BTS,65
2024-06-16,BTS,50
2024-06-23,BTS,45
2024-06-30,BTS,46
2024-07-07,BTS,48
2024-07-14,BTS,46
2024-07-21,BTS,47
2024-07-28,BTS,46
2024-08-04,BTS,47
